,0
0,108
1,50
2,250
3,142
4,231
5,151
6,163
7,223
8,3
9,121
10,71
11,110
12,59
13,125
14,49
15,226
16,137
17,32
18,160
19,71
20,69
21,179
22,119
23,70
24,160
25,69
26,71
27,251
28,222
29,177
30,2
31,168
32,16
33,126
34,23
35,205
36,135
37,61
38,62
39,156
40,84
41,130
42,0
43,86
44,135
45,72
46,53
47,158
48,138
49,64
50,54
51,72
52,105
53,65
54,211
55,90
56,119
57,68
58,44
59,83
60,133
61,173
62,89
63,212
64,45
65,7
66,244
67,6
68,31
69,31
70,153
71,161
72,13
73,209
74,41
75,181
76,208
77,3
78,235
79,24
80,79
81,9
82,221
83,0
84,70
85,226
86,1
87,22
88,200
89,28
90,143
91,169
92,163
93,148
94,131
95,38
96,92
97,187
98,34
99,67
100,141
101,5
102,139
103,120
104,113
105,123
106,244
107,20
108,238
109,62
110,129
111,245
112,220
113,205
114,93
115,110
116,77
117,181
118,125
119,206
120,92
121,92
122,84
123,19
124,50
125,229
126,37
127,242
128,175
129,123
130,46
131,204
132,132
133,101
134,148
135,64
136,192
137,175
138,153
139,101
140,120
141,29
142,143
143,204
144,100
145,223
146,1
147,120
148,16
149,41
150,133
151,119
152,57
153,237
154,174
155,32
156,208
157,156
158,130
159,250
160,218
161,58
162,66
163,129
164,73
165,233
166,205
167,35
168,218
169,48
170,175
171,237
172,238
173,30
174,215
175,172
176,36
177,53
178,141
179,217
180,83
181,31
182,37
183,174
184,198
185,239
186,181
187,64
188,8
189,233
190,224
191,146
192,40
193,89
194,138
195,125
196,160
197,179
198,87
199,151
200,143
201,136
202,223
203,229
204,28
205,86
206,36
207,236
208,228
209,184
210,254
211,181
212,88
213,60
214,41
215,174
216,211
217,169
218,217
219,105
220,162
221,119
222,244
223,177
224,8
225,46
226,254
227,74
228,192
229,164
230,232
231,243
232,120
233,136
234,39
235,6
236,58
237,75
238,55
239,144
240,232
241,68
242,34
243,88
244,8
245,124
246,63
247,11
248,116
249,159
250,123
251,39
252,32
253,225
254,81
255,139
256,174
257,252
258,248
259,216
260,244
261,164
262,193
263,181
264,233
265,99
266,150
267,49
268,117
269,18
270,209
271,168
272,11
273,78
274,91
275,83
276,155
277,22
278,113
279,137
280,172
281,211
282,100
283,142
284,129
285,202
286,237
287,146
288,203
289,174
290,181
291,205
292,67
293,23
294,191
295,204
296,89
297,224
298,53
299,62
300,240
301,13
302,254
303,102
304,96
305,207
306,14
307,248
308,172
309,184
310,19
311,8
312,27
313,120
314,48
315,134
316,44
317,239
318,126
319,151
320,10
321,153
322,213
323,19
324,61
325,148
326,240
327,6
328,207
329,88
330,32
331,90
332,19
333,15
334,136
335,26
336,214
337,115
338,204
339,166
340,214
341,247
342,105
343,231
344,183
345,40
346,187
347,60
348,36
349,158
350,59
351,76
352,10
353,192
354,156
355,196
356,40
357,188
358,159
359,21
360,240
361,89
362,85
363,250
364,85
365,243
366,239
367,161
368,126
369,10
370,225
371,98
372,99
373,4
374,58
375,189
376,153
377,57
378,221
379,68
380,99
381,119
382,162
383,188
384,101
385,241
386,50
387,168
388,204
389,161
390,5
391,145
392,108
393,73
394,200
395,26
396,62
397,99
398,74
399,134
400,0
401,229
402,206
403,46
404,48
405,30
406,243
407,27
408,33
409,136
410,48
411,129
412,174
413,102
414,94
415,191
416,8
417,234
418,75
419,176
420,73
421,36
422,37
423,192
424,144
425,43
426,234
427,194
428,240
429,172
430,138
431,236
432,40
433,201
434,17
435,112
436,246
437,226
438,91
439,248
440,211
441,228
442,6
443,152
444,76
445,50
446,202
447,253
448,83
449,20
450,248
451,94
452,165
453,215
454,81
455,237
456,157
457,205
458,147
459,196
460,242
461,152
462,240
463,12
464,147
465,62
466,153
467,177
468,186
469,120
470,130
471,204
472,9
473,123
474,183
475,243
476,234
477,118
478,213
479,8
480,105
481,245
482,91
483,64
484,109
485,220
486,214
487,66
488,184
489,84
490,202
491,91
492,5
493,86
494,53
495,157
496,46
497,62
498,79
499,239
500,107
501,27
502,73
503,83
504,37
505,229
506,87
507,48
508,59
509,61
510,207
511,144
512,246
513,238
514,162
515,72
516,226
517,208
518,118
519,33
520,218
521,160
522,70
523,145
524,193
525,152
526,232
527,33
528,235
529,53
530,100
531,16
532,152
533,110
534,238
535,173
536,215
537,16
538,220
539,180
540,221
541,223
542,213
543,74
544,40
545,41
546,170
547,81
548,143
549,148
550,247
551,216
552,39
553,91
554,220
555,31
556,147
557,31
558,101
559,75
560,9
561,239
562,66
563,103
564,122
565,215
566,58
567,65
568,191
569,217
570,199
571,138
572,204
573,113
574,32
575,113
576,58
577,10
578,42
579,14
580,17
581,67
582,190
583,139
584,75
585,22
586,19
587,28
588,203
589,57
590,254
591,237
592,126
593,253
594,12
595,217
596,136
597,5
598,8
599,163
600,44
601,184
602,181
603,187
604,140
605,98
606,210
607,55
608,11
609,231
610,123
611,52
612,81
613,192
614,94
615,123
616,69
617,68
618,121
619,120
620,213
621,126
622,63
623,253
624,149
625,192
626,24
627,15
628,68
629,207
630,31
631,188
632,130
633,123
634,118
635,65
636,73
637,165
638,146
639,65
640,29
641,160
642,230
643,101
644,209
645,204
646,242
647,8
648,172
649,229
650,35
651,210
652,6
653,183
654,208
655,19
656,203
657,32
658,225
659,230
660,104
661,29
662,87
663,245
664,109
665,171
666,208
667,175
668,30
669,183
670,190
671,36
672,196
673,248
674,108
675,107
676,44
677,210
678,4
679,35
680,140
681,253
682,219
683,108
684,50
685,162
686,76
687,81
688,189
689,193
690,54
691,74
692,244
693,128
694,75
695,20
696,1
697,245
698,169
699,47
700,96
701,124
702,194
703,243
704,52
705,117
706,192
707,179
708,70
709,211
710,23
711,227
712,196
713,19
714,251
715,204
716,51
717,193
718,135
719,45
720,137
721,53
722,145
723,214
724,65
725,163
726,16
727,26
728,16
729,154
730,72
731,42
732,188
733,241
734,48
735,228
736,130
737,65
738,210
739,202
740,93
741,192
742,7
743,180
744,201
745,219
746,106
747,149
748,230
749,194
750,68
751,30
752,5
753,206
754,132
755,17
756,62
757,249
758,110
759,177
760,37
761,170
762,45
763,106
764,128
765,231
766,13
767,189
768,185
769,94
770,106
771,9
772,191
773,100
774,109
775,99
776,158
777,185
778,231
779,65
780,13
781,18
782,190
783,143
784,13
785,222
786,196
787,38
788,84
789,38
790,125
791,104
792,163
793,231
794,83
795,23
796,174
797,161
798,231
799,254
800,145
801,237
802,239
803,41
804,160
805,162
806,30
807,216
808,212
809,21
810,156
811,29
812,230
813,28
814,237
815,171
816,20
817,38
818,214
819,100
820,60
821,243
822,171
823,146
824,142
825,169
826,221
827,213
828,7
829,12
830,136
831,108
832,232
833,33
834,18
835,52
836,4
837,25
838,237
839,202
840,42
841,17
842,196
843,104
844,118
845,20
846,41
847,254
848,237
849,249
850,90
851,209
852,41
853,173
854,179
855,80
856,83
857,216
858,108
859,174
860,192
861,203
862,224
863,163
864,76
865,250
866,1
867,116
868,215
869,198
870,148
871,82
872,23
873,243
874,251
875,176
876,254
877,251
878,72
879,193
880,189
881,122
882,25
883,245
884,47
885,186
886,191
887,248
888,41
889,166
890,54
891,253
892,230
893,169
894,78
895,77
896,4
897,117
898,125
899,73
900,92
901,184
902,142
903,75
904,242
905,14
906,181
907,147
908,204
909,221
910,241
911,99
912,47
913,51
914,245
915,87
916,136
917,253
918,117
919,73
920,31
921,231
922,98
923,254
924,175
925,119
926,217
927,115
928,249
929,102
930,77
931,152
932,4
933,174
934,42
935,117
936,25
937,53
938,129
939,159
940,252
941,82
942,224
943,159
944,43
945,231
946,141
947,75
948,153
949,28
950,190
951,61
952,60
953,42
954,42
955,107
956,182
957,237
958,134
959,103
960,99
961,95
962,88
963,22
964,80
965,143
966,111
967,13
968,222
969,162
970,194
971,77
972,146
973,241
974,141
975,231
976,145
977,253
978,222
979,88
980,55
981,133
982,57
983,66
984,200
985,77
986,50
987,97
988,138
989,15
990,142
991,19
992,30
993,69
994,5
995,66
996,236
997,213
998,190
999,192
1000,223
1001,20
1002,229
1003,87
1004,161
1005,250
1006,166
1007,218
1008,100
1009,218
1010,19
1011,44
1012,116
1013,51
1014,154
1015,167
1016,185
1017,138
1018,121
1019,248
1020,35
1021,220
1022,12
1023,107
1024,129
1025,146
1026,5
1027,151
1028,65
1029,47
1030,172
1031,221
1032,62
1033,243
1034,104
1035,245
1036,128
1037,243
1038,7
1039,93
1040,243
1041,105
1042,211
1043,92
1044,233
1045,142
1046,5
1047,123
1048,205
1049,122
1050,144
1051,32
1052,91
1053,124
1054,78
1055,1
1056,90
1057,73
1058,204
1059,11
1060,222
1061,234
1062,228
1063,68
1064,166
1065,149
1066,38
1067,110
1068,156
1069,138
1070,140
1071,100
1072,2
1073,58
1074,213
1075,26
1076,4
1077,86
1078,11
1079,63
1080,145
1081,124
1082,215
1083,54
1084,37
1085,14
1086,20
1087,116
1088,73
1089,181
1090,98
1091,100
1092,3
1093,125
1094,97
1095,146
1096,173
1097,154
1098,34
1099,144
1100,71
1101,134
