,0
0,149
1,80
2,198
3,241
4,32
5,205
6,81
7,252
8,127
9,5
10,7
11,199
12,86
13,34
14,207
15,7
16,55
17,249
18,240
19,117
20,95
21,116
22,5
23,217
24,242
25,37
26,205
27,92
28,153
29,55
30,199
31,225
32,166
33,5
34,218
35,241
36,15
37,22
38,129
39,69
40,66
41,45
42,22
43,51
44,85
45,146
46,93
47,169
48,110
49,136
50,92
51,159
52,52
53,74
54,185
55,31
56,254
57,57
58,149
59,101
60,84
61,251
62,161
63,105
64,194
65,191
66,60
67,206
68,231
69,189
70,147
71,136
72,118
73,132
74,123
75,141
76,219
77,137
78,91
79,44
80,94
81,65
82,195
83,217
84,131
85,146
86,97
87,120
88,166
89,25
90,66
91,231
92,101
93,227
94,176
95,237
96,127
97,93
98,198
99,224
100,243
101,107
102,117
103,212
104,143
105,235
106,57
107,126
108,203
109,53
110,136
111,127
112,56
113,22
114,146
115,111
116,26
117,116
118,5
119,77
120,35
121,15
122,60
123,133
124,39
125,168
126,212
127,184
128,54
129,253
130,175
131,162
132,249
133,31
134,183
135,49
136,244
137,12
138,200
139,150
140,185
141,196
142,145
143,13
144,43
145,34
146,204
147,13
148,145
149,205
150,158
151,138
152,206
153,70
154,135
155,97
156,15
157,35
158,28
159,147
160,77
161,60
162,235
163,139
164,43
165,11
166,248
167,132
168,16
169,45
170,17
171,219
172,99
173,110
174,89
175,131
176,115
177,117
178,254
179,64
180,17
181,56
182,153
183,194
184,108
185,17
186,229
187,38
188,145
189,48
190,157
191,30
192,178
193,54
194,129
195,51
196,192
197,61
198,252
199,122
200,112
201,141
202,56
203,159
204,130
205,35
206,227
207,248
208,251
209,17
210,130
211,149
212,97
213,23
214,104
215,119
216,38
217,248
218,41
219,19
220,58
221,194
222,118
223,68
224,211
225,227
226,139
227,59
228,53
229,238
230,144
231,211
232,97
233,64
234,225
235,116
236,115
237,17
238,33
239,214
240,240
241,126
242,161
243,237
244,62
245,37
246,9
247,23
248,115
249,38
250,40
251,5
252,120
253,179
254,159
255,235
256,154
257,47
258,244
259,199
260,221
261,38
262,213
263,107
264,210
265,42
266,145
267,19
268,97
269,242
270,57
271,198
272,253
273,57
274,133
275,246
276,234
277,168
278,149
279,75
280,0
281,2
282,70
283,82
284,127
285,139
286,61
287,18
288,161
289,170
290,54
291,254
292,101
293,193
294,212
295,26
296,127
297,64
298,173
299,150
300,1
301,39
302,145
303,189
304,173
305,245
306,59
307,184
308,39
309,79
310,180
311,33
312,3
313,88
314,18
315,143
316,193
317,127
318,125
319,16
320,116
321,250
322,92
323,0
324,52
325,189
326,186
327,49
328,231
329,151
330,125
331,229
332,228
333,187
334,3
335,119
336,212
337,159
338,253
339,35
340,237
341,141
342,212
343,108
344,119
345,22
346,124
347,69
348,248
349,15
350,148
351,117
352,192
353,200
354,19
355,38
356,122
357,224
358,222
359,182
360,65
361,223
362,86
363,220
364,24
365,128
366,74
367,127
368,203
369,227
370,152
371,121
372,226
373,27
374,31
375,134
376,26
377,205
378,15
379,61
380,2
381,145
382,209
383,244
384,224
385,119
386,165
387,43
388,213
389,125
390,177
391,164
392,243
393,193
394,121
395,97
396,197
397,251
398,103
399,94
400,138
401,55
402,173
403,50
404,184
405,159
406,6
407,21
408,7
409,207
410,156
411,115
412,135
413,227
414,25
415,44
416,146
417,199
418,176
419,181
420,249
421,215
422,59
423,169
424,39
425,160
426,228
427,185
428,251
429,2
430,59
431,214
432,73
433,222
434,40
435,45
436,171
437,242
438,178
439,126
440,97
441,0
442,75
443,170
444,135
445,49
446,193
447,57
448,48
449,161
450,37
451,2
452,137
453,10
454,173
455,76
456,133
457,190
458,102
459,48
460,99
461,167
462,166
463,9
464,145
465,118
466,103
467,164
468,122
469,155
470,216
471,185
472,208
473,86
474,157
475,150
476,73
477,86
478,228
479,247
480,95
481,75
482,105
483,164
484,191
485,178
486,99
487,11
488,86
489,132
490,215
491,229
492,143
493,14
494,140
495,40
496,200
497,212
498,17
499,9
500,47
501,232
502,57
503,87
504,178
505,67
506,64
507,58
508,96
509,45
510,6
511,215
512,206
513,147
514,56
515,160
516,76
517,199
518,195
519,107
520,75
521,190
522,41
523,30
524,185
525,48
526,42
527,80
528,17
529,107
530,13
531,198
532,200
533,251
534,214
535,65
536,208
537,133
538,20
539,77
540,92
541,204
542,238
543,151
544,111
545,228
546,200
547,133
548,86
549,9
550,112
551,71
552,60
553,254
554,112
555,45
556,168
557,3
558,122
559,247
560,68
561,3
562,76
563,180
564,103
565,206
566,223
567,229
568,86
569,21
570,183
571,150
572,41
573,48
574,228
575,171
576,122
577,138
578,176
579,244
580,244
581,127
582,239
583,117
584,46
585,84
586,191
587,239
588,109
589,149
590,57
591,75
592,225
593,184
594,122
595,191
596,35
597,227
598,94
599,217
600,26
601,238
602,81
603,4
604,42
605,228
606,197
607,165
608,54
609,32
610,163
611,37
612,251
613,5
614,148
615,232
616,140
617,143
618,40
619,215
620,50
621,63
622,8
623,206
624,168
625,243
626,159
627,37
628,161
629,13
630,129
631,214
632,32
633,113
634,180
635,121
636,35
637,63
638,189
639,234
640,141
641,186
642,22
643,236
644,179
645,54
646,8
647,67
648,36
649,251
650,87
651,240
652,121
653,193
654,45
655,172
656,133
657,188
658,113
659,243
660,49
661,150
662,115
663,107
664,68
665,232
666,161
667,108
668,169
669,251
670,119
671,240
672,188
673,102
674,154
675,251
676,9
677,118
678,131
679,242
680,110
681,221
682,179
683,155
684,22
685,248
686,133
687,12
688,192
689,155
690,188
691,137
692,220
693,209
694,198
695,118
696,206
697,14
698,127
699,196
700,243
701,95
702,28
703,122
704,147
705,9
706,3
707,47
708,234
709,80
710,58
711,171
712,247
713,46
714,61
715,140
716,240
717,57
718,229
719,156
720,75
721,182
722,142
723,228
724,244
725,98
726,85
727,67
728,110
729,196
730,37
731,132
732,244
733,6
734,226
735,223
736,94
737,16
738,138
739,99
740,145
741,14
742,200
743,235
744,233
745,65
746,104
747,133
748,146
749,237
750,195
751,13
752,233
753,81
754,188
755,100
756,173
757,71
758,117
759,151
760,139
761,169
762,217
763,82
764,180
765,235
766,165
767,11
768,33
769,87
770,204
771,250
772,72
773,137
774,239
775,174
776,231
777,139
778,157
779,2
780,139
781,195
782,196
783,51
784,186
785,133
786,212
787,180
788,10
789,95
790,206
791,213
792,141
793,191
794,10
795,195
796,22
797,30
798,141
799,51
