,0
0,190
1,150
2,43
3,160
4,5
5,134
6,35
7,85
8,235
9,125
10,220
11,212
12,163
13,87
14,194
15,70
16,158
17,41
18,30
19,43
20,15
21,183
22,86
23,188
24,117
25,110
26,23
27,115
28,63
29,7
30,43
31,244
32,202
33,145
34,120
35,103
36,239
37,230
38,227
39,233
40,244
41,144
42,118
43,183
44,95
45,227
46,188
47,235
48,44
49,214
50,32
51,213
52,66
53,218
54,7
55,164
56,232
57,50
58,92
59,9
60,62
61,50
62,225
63,21
64,237
65,50
66,50
67,0
68,171
69,148
70,24
71,84
72,199
73,5
74,95
75,163
76,240
77,47
78,173
79,33
80,7
81,92
82,37
83,102
84,130
85,234
86,39
87,112
88,20
89,21
90,161
91,44
92,213
93,185
94,196
95,228
96,250
97,205
98,197
99,170
100,20
101,91
102,50
103,55
104,254
105,151
106,161
107,81
108,223
109,78
110,189
111,94
112,62
113,215
114,151
115,135
116,44
117,162
118,9
119,51
120,232
121,2
122,204
123,250
124,238
125,35
126,108
127,24
128,163
129,5
130,6
131,8
132,34
133,16
134,176
135,246
136,162
137,16
138,79
139,73
140,178
141,147
142,201
143,9
144,111
145,72
146,197
147,252
148,204
149,65
150,82
151,52
152,81
153,57
154,242
155,136
156,117
157,147
158,69
159,111
160,226
161,221
162,109
163,196
164,101
165,220
166,12
167,189
168,202
169,186
170,223
171,197
172,228
173,82
174,50
175,145
176,157
177,76
178,243
179,151
180,101
181,19
182,245
183,131
184,24
185,193
186,219
187,16
188,192
189,15
190,26
191,226
192,240
193,210
194,59
195,240
196,245
197,23
198,99
199,38
200,43
201,31
202,96
203,43
204,20
205,248
206,247
207,0
208,43
209,187
210,106
211,202
212,129
213,4
214,246
215,69
216,187
217,77
218,108
219,49
220,92
221,136
222,227
223,11
224,94
225,17
226,13
227,151
228,253
229,249
230,15
231,20
232,14
233,215
234,71
235,190
236,63
237,134
238,58
239,214
240,211
241,95
242,157
243,42
244,51
245,230
246,190
247,181
248,13
249,75
250,207
251,176
252,119
253,55
254,126
255,80
256,115
257,22
258,94
259,167
260,203
261,45
262,40
263,167
264,112
265,163
266,78
267,70
268,175
269,47
270,247
271,65
272,72
273,134
274,101
275,112
276,179
277,189
278,87
279,142
280,112
281,205
282,100
283,84
284,105
285,127
286,59
287,175
288,127
289,1
290,99
291,100
292,220
293,126
294,62
295,103
296,64
297,217
298,70
299,112
300,48
301,162
302,63
303,155
304,121
305,234
306,57
307,228
308,230
309,207
310,205
311,41
312,2
313,247
314,207
315,24
316,219
317,21
318,178
319,50
320,86
321,211
322,240
323,79
324,250
325,42
326,48
327,195
328,141
329,30
330,129
331,75
332,192
333,56
334,86
335,117
336,27
337,121
338,163
339,135
340,48
341,58
342,185
343,202
344,148
345,205
346,228
347,56
348,189
349,173
350,243
351,210
352,18
353,16
354,192
355,254
356,67
357,101
358,158
359,10
360,161
361,244
362,177
363,106
364,222
365,108
366,241
367,36
368,31
369,73
370,253
